${RecordId},${Currency},${Amount},${ExpectedStatus}
1,GBP,644.67,ACCEPTED
2,USD,352.73,ACCEPTED
3,EUR,1850.49,ACCEPTED
4,JPY,47104,ACCEPTED
5,JPY,51495,ACCEPTED
6,GBP,1882.66,ACCEPTED
7,CAD,2804.59,ACCEPTED
8,JPY,83827,ACCEPTED
9,AUD,2627.71,ACCEPTED
10,USD,1369.59,ACCEPTED
11,USD,3743.68,ACCEPTED
12,CAD,3926.52,ACCEPTED
13,JPY,53366.53,REJECTED
14,EUR,3655.38,ACCEPTED
15,JPY,37227.77,REJECTED
16,AUD,2544.02,ACCEPTED
17,CAD,2482.82,ACCEPTED
18,AUD,3009.97,ACCEPTED
19,GBP,4782.44,ACCEPTED
20,GBP,2494.44,ACCEPTED
21,CAD,11.75,ACCEPTED
22,EUR,2620.69,ACCEPTED
23,USD,4220.46,ACCEPTED
24,EUR,2671.49,ACCEPTED
25,CAD,2387.26,ACCEPTED
26,JPY,58325,ACCEPTED
27,CAD,2463.77,ACCEPTED
28,JPY,39223.28,REJECTED
29,EUR,4953.48,ACCEPTED
30,JPY,5259,ACCEPTED
31,GBP,4707.61,ACCEPTED
32,CAD,3211.71,ACCEPTED
33,EUR,4821.87,ACCEPTED
34,AUD,1828.83,ACCEPTED
35,JPY,97955,ACCEPTED
36,JPY,33470.01,REJECTED
37,GBP,3082.82,ACCEPTED
38,JPY,54746.07,REJECTED
39,AUD,4233.17,ACCEPTED
40,CAD,3383.83,ACCEPTED
41,JPY,55664.42,REJECTED
42,GBP,462.75,ACCEPTED
43,GBP,2749.49,ACCEPTED
44,EUR,978.56,ACCEPTED
45,USD,3673.97,ACCEPTED
46,AUD,2196.82,ACCEPTED
47,GBP,2493.74,ACCEPTED
48,GBP,2513.1,ACCEPTED
49,AUD,1014.49,ACCEPTED
50,USD,2687.46,ACCEPTED
51,CAD,3860.98,ACCEPTED
52,GBP,223.81,ACCEPTED
53,AUD,4264.89,ACCEPTED
54,JPY,25674,ACCEPTED
55,AUD,992.51,ACCEPTED
56,GBP,136.3,ACCEPTED
57,USD,2145.96,ACCEPTED
58,CAD,642.1,ACCEPTED
59,CAD,2009.08,ACCEPTED
60,CAD,3163.46,ACCEPTED
61,USD,2339.52,ACCEPTED
62,CAD,164.25,ACCEPTED
63,EUR,4691.16,ACCEPTED
64,JPY,23625.52,REJECTED
65,GBP,790.99,ACCEPTED
66,AUD,1940.6,ACCEPTED
67,AUD,3611.38,ACCEPTED
68,AUD,2167.28,ACCEPTED
69,USD,4705.72,ACCEPTED
70,JPY,8645.5,REJECTED
71,CAD,503.71,ACCEPTED
72,CAD,1587.16,ACCEPTED
73,JPY,48146.49,REJECTED
74,CAD,676.98,ACCEPTED
75,GBP,2318.5,ACCEPTED
76,USD,1205.13,ACCEPTED
77,USD,3964.27,ACCEPTED
78,JPY,53603.01,REJECTED
79,GBP,1514.68,ACCEPTED
80,EUR,1145.13,ACCEPTED
81,AUD,3324.71,ACCEPTED
82,USD,759.55,ACCEPTED
83,JPY,35302,ACCEPTED
84,CAD,2797.52,ACCEPTED
85,CAD,1889.31,ACCEPTED
86,USD,4446.9,ACCEPTED
87,JPY,92748,ACCEPTED
88,USD,105.07,ACCEPTED
89,JPY,91439,ACCEPTED
90,JPY,71291,ACCEPTED
91,USD,2475.16,ACCEPTED
92,EUR,663.68,ACCEPTED
93,USD,252.3,ACCEPTED
94,GBP,2769.74,ACCEPTED
95,CAD,2819.57,ACCEPTED
96,CAD,3159.19,ACCEPTED
97,GBP,3842.23,ACCEPTED
98,GBP,16.71,ACCEPTED
99,CAD,3683.88,ACCEPTED
100,GBP,1900.64,ACCEPTED
101,CAD,4250.22,ACCEPTED
102,AUD,3417.4,ACCEPTED
103,USD,769.98,ACCEPTED
104,JPY,55179.76,REJECTED
105,AUD,190.23,ACCEPTED
106,AUD,1109.64,ACCEPTED
107,EUR,4047.32,ACCEPTED
108,JPY,93892,ACCEPTED
109,AUD,4035.87,ACCEPTED
110,USD,357.43,ACCEPTED
111,JPY,47339.57,REJECTED
112,USD,3439.69,ACCEPTED
113,GBP,3825.98,ACCEPTED
114,EUR,564.96,ACCEPTED
115,CAD,1472.6,ACCEPTED
116,EUR,4851.52,ACCEPTED
117,JPY,53243,ACCEPTED
118,JPY,49778,ACCEPTED
119,CAD,4357.89,ACCEPTED
120,USD,337.29,ACCEPTED
121,USD,745.41,ACCEPTED
122,EUR,643.68,ACCEPTED
123,EUR,2382.7,ACCEPTED
124,AUD,4335.58,ACCEPTED
125,GBP,4642.01,ACCEPTED
126,JPY,13610.23,REJECTED
127,JPY,92719,ACCEPTED
128,JPY,47635,ACCEPTED
129,CAD,322.19,ACCEPTED
130,JPY,92174.52,REJECTED
131,USD,1539.39,ACCEPTED
132,EUR,326.69,ACCEPTED
133,GBP,140.19,ACCEPTED
134,JPY,8261,ACCEPTED
135,EUR,1679.14,ACCEPTED
136,AUD,1972.53,ACCEPTED
137,AUD,1895.91,ACCEPTED
138,JPY,12519.27,REJECTED
139,CAD,3735.06,ACCEPTED
140,CAD,4669.49,ACCEPTED
141,JPY,55238,ACCEPTED
142,AUD,3171.0,ACCEPTED
143,USD,4753.71,ACCEPTED
144,GBP,1682.92,ACCEPTED
145,USD,1587.9,ACCEPTED
146,CAD,442.03,ACCEPTED
147,AUD,75.22,ACCEPTED
148,CAD,347.58,ACCEPTED
149,USD,4578.5,ACCEPTED
150,AUD,3467.77,ACCEPTED
